,Year,Season,Anomaly
0,1880,Autumn,-0.18000000000000002
1,1880,Spring,-0.135
2,1880,Summer,-0.21
3,1880,Winter,-0.11
4,1881,Autumn,-0.13
5,1881,Spring,-0.01
6,1881,Summer,-0.060000000000000005
7,1881,Winter,-0.18
8,1882,Autumn,-0.185
9,1882,Spring,-0.09
10,1882,Summer,-0.08
11,1882,Winter,0.0050000000000000044
12,1883,Autumn,-0.2
13,1883,Spring,-0.155
14,1883,Summer,-0.095
15,1883,Winter,-0.35000000000000003
16,1884,Autumn,-0.35
17,1884,Spring,-0.315
18,1884,Summer,-0.26
19,1884,Winter,-0.16999999999999998
20,1885,Autumn,-0.355
21,1885,Spring,-0.29000000000000004
22,1885,Summer,-0.29500000000000004
23,1885,Winter,-0.485
24,1886,Autumn,-0.26
25,1886,Spring,-0.325
26,1886,Summer,-0.23
27,1886,Winter,-0.40499999999999997
28,1887,Autumn,-0.32
29,1887,Spring,-0.305
30,1887,Summer,-0.35
31,1887,Winter,-0.45
32,1888,Autumn,-0.155
33,1888,Spring,-0.15500000000000003
34,1888,Summer,-0.135
35,1888,Winter,-0.36
36,1889,Autumn,-0.195
37,1889,Spring,-0.035
38,1889,Summer,-0.015
39,1889,Winter,-0.10500000000000001
40,1890,Autumn,-0.365
41,1890,Spring,-0.35
42,1890,Summer,-0.22
43,1890,Winter,-0.46499999999999997
44,1891,Autumn,-0.24
45,1891,Spring,-0.19
46,1891,Summer,-0.16
47,1891,Winter,-0.39
48,1892,Autumn,-0.315
49,1892,Spring,-0.25
50,1892,Summer,-0.16
51,1892,Winter,-0.26
52,1893,Autumn,-0.25
53,1893,Spring,-0.22499999999999998
54,1893,Summer,-0.175
55,1893,Winter,-0.625
56,1894,Autumn,-0.35
57,1894,Spring,-0.255
58,1894,Summer,-0.215
59,1894,Winter,-0.485
60,1895,Autumn,-0.165
61,1895,Spring,-0.25
62,1895,Summer,-0.165
63,1895,Winter,-0.395
64,1896,Autumn,-0.08
65,1896,Spring,-0.18
66,1896,Summer,-0.034999999999999996
67,1896,Winter,-0.185
68,1897,Autumn,-0.085
69,1897,Spring,-0.1
70,1897,Summer,0.035
71,1897,Winter,-0.22999999999999998
72,1898,Autumn,-0.31999999999999995
73,1898,Spring,-0.365
74,1898,Summer,-0.125
