Country,RCP 2.6,RCP 4.5,RCP 6,RCP 8.5
Afghanistan,1.53,3.02,3.62,5.55
Albania,1.4,2.53,3.1,5.02
Algeria,1.32,2.65,3.3,5.39
American Samoa,0.73,1.35,1.53,2.72
Andorra,1.19,2.34,2.87,4.82
Angola,1.09,2.28,2.64,4.88
Anguilla,0.85,1.54,1.85,3.01
Antigua and Barbuda,0.84,1.54,1.86,2.96
Argentina,0.86,1.76,2.25,3.44
Armenia,1.44,2.68,3.36,5.11
Aruba,0.94,1.63,1.99,3.1
Australia,1.17,2.24,2.69,4.4
Austria,1.37,2.63,3.23,4.91
Azerbaijan,1.23,2.48,2.95,4.78
"Bahamas, The",0.82,1.55,1.87,3.19
Bahrain,1.31,2.36,3.16,4.79
Bangladesh,1.05,2.18,2.66,3.91
Barbados,0.84,1.54,1.88,2.9
Belarus,1.6,3.04,3.61,5.4
Belgium,1.11,2.08,2.71,4.23
Belize,0.95,2.03,2.32,3.99
Benin,1.19,2.14,2.42,4.34
Bermuda,0.89,1.68,2.04,3.08
Bhutan,1.21,2.48,2.91,4.33
Bolivia,1.23,2.45,3.12,5.09
Bosnia and Herzegovina,1.45,2.58,3.19,5.1
Botswana,1.31,2.85,3.26,5.77
Brazil,1.2,2.31,2.8,4.73
British Indian Ocean Territory,0.8,1.68,1.9,3.25
British Virgin Islands,0.86,1.56,1.89,3.03
Brunei,0.84,1.61,1.99,3.47
Bulgaria,1.49,2.66,3.23,5.17
Burkina Faso,1.21,2.27,2.66,4.61
Burundi,1.12,2.21,2.37,4.43
Cambodia,1,2.02,2.45,3.96
Cameroon,1.08,2.09,2.54,4.2
Canada,2.06,3.67,4.25,6.67
Cape Verde,0.82,1.57,1.83,2.93
Cayman Islands,0.82,1.66,1.97,3.18
Central African Republic,1.22,2.17,2.57,4.3
Chad,1.27,2.39,3.07,4.75
Chile,0.91,1.79,2.08,3.48
China,1.39,2.76,3.29,5.26
Christmas Island,0.7,1.45,1.66,2.93
Cocos (Keeling) Islands,0.73,1.44,1.58,2.87
Colombia,1.1,2.16,2.53,4.46
Comoros,0.8,1.66,2.01,3.19
Congo (Democratic Republic of the),1.11,2.15,2.49,4.52
Congo (Republic of the),1.05,1.96,2.3,4.29
Cook Islands,0.56,1.21,1.51,2.44
Costa Rica,0.97,1.75,2.32,3.72
Cote d'Ivoire,0.98,2,2.32,4.14
Croatia,1.43,2.55,3.23,5.07
Cuba,0.86,1.71,2.06,3.33
Cyprus,1.14,2.09,2.68,3.88
Czech Republic,1.6,2.65,3.23,4.85
Denmark,1.16,2.16,2.5,4
Djibouti,0.99,2.15,2.5,4.19
