,Country,Annual,DJF,MAM,JJA,SON
0,Albania,0.36,0.0,0.0,0.36,0.0
1,Andorra,0.0,0.0,0.0,0.0,0.0
2,Netherlands Antilles,146.85,2.45,6.78,62.38,67.18
3,United Arab Emirates,22.21,0.0,15.58,-4.08,16.28
4,Argentina,7.51,5.7,0.86,0.0,0.86
5,Armenia,0.0,0.0,0.0,0.0,0.0
6,American Samoa,115.07,52.8,58.88,1.08,2.5
7,Antigua and Barbuda,71.38,0.0,0.01,26.45,39.79
8,Australia,20.35,14.41,3.52,0.01,2.67
9,Austria,0.0,0.0,0.0,0.0,0.0
10,Azerbaijan,9.56,0.0,0.01,9.28,0.22
11,Burundi,0.0,0.0,0.0,0.0,0.0
12,Belgium,0.0,0.0,0.0,0.0,0.0
13,Benin,120.22,5.4,45.3,39.79,27.69
14,Burkina Faso,92.87,0.48,30.19,40.05,27.15
15,Bangladesh,45.6,0.0,25.26,6.3,23.97
16,Bulgaria,0.04,0.0,0.0,0.04,0.0
17,Bahrain,-18.28,0.0,14.29,-38.46,1.69
18,"Bahamas, The",50.18,0.0,0.13,30.24,19.61
19,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
20,Belarus,0.1,0.0,0.0,0.1,0.0
21,Belize,74.25,0.08,19.3,37.84,22.48
22,Bermuda,0.1,0.0,0.0,0.05,0.0
23,Bolivia,75.29,31.63,16.27,1.17,24.19
24,Brazil,93.99,26.68,21.1,8.52,37.8
25,Barbados,103.81,0.09,0.38,45.05,55.06
26,Brunei,104.33,8.71,30.26,38.89,29.94
27,Bhutan,2.63,0.0,0.06,1.99,0.05
28,Botswana,0.67,0.26,0.0,0.0,0.19
29,Central African Republic,12.79,0.14,8.07,2.38,0.89
30,Canada,0.0,0.0,0.0,0.0,0.0
31,Cocos (Keeling) Islands,51.35,14.37,37.15,0.45,0.0
32,Switzerland,0.0,0.0,0.0,0.0,0.0
33,Chile,0.0,0.0,0.0,0.0,0.0
34,China,10.01,0.0,0.89,7.75,1.13
35,Cote d'Ivoire,95.91,11.13,54.07,16.8,12.75
36,Cameroon,19.87,0.83,9.86,5.7,2.69
37,Congo (Democratic Republic of the),14.42,1.28,8.25,1.34,2.69
38,Congo (Republic of the),7.48,0.88,4.81,0.37,0.55
39,Cook Islands,9.95,3.16,7.34,0.0,0.0
40,Colombia,105.43,16.91,28.75,23.13,38.04
41,Comoros,43.1,16.5,24.42,0.0,0.05
42,Cape Verde,0.46,0.0,0.0,0.06,0.45
43,Costa Rica,56.85,0.87,15.45,18.73,19.12
44,Cuba,71.39,0.0,0.29,45.37,25.61
45,Christmas Island,46.83,12.27,23.99,1.5,0.14
46,Cayman Islands,158.75,1.65,4.13,78.88,70.1
47,Cyprus,15.11,0.0,0.0,13.54,1.27
48,Czech Republic,0.0,0.0,0.0,0.0,0.0
49,Germany,0.0,0.0,0.0,0.0,0.0
50,Djibouti,76.88,0.11,24.12,36.62,20.23
51,Dominica,10.32,0.0,0.0,4.39,7.39
52,Denmark,0.0,0.0,0.0,0.0,0.0
