,Year,Zone,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1880,Global,-0.18,-0.25,-0.09,-0.16,-0.1,-0.21,-0.18,-0.1,-0.14,-0.24,-0.22,-0.17
1,1880,South Hemisphere,0.01,0.04,0.07,-0.01,-0.12,-0.24,-0.16,0.07,-0.04,-0.14,0.01,0.06
2,1880,North Hemisphere,-0.37,-0.53,-0.24,-0.31,-0.07,-0.17,-0.2,-0.28,-0.24,-0.33,-0.44,-0.41
3,1881,Global,-0.19,-0.14,0.03,0.05,0.06,-0.19,0.01,-0.03,-0.15,-0.22,-0.18,-0.07
4,1881,South Hemisphere,-0.07,-0.05,0.1,0.1,0.09,-0.05,-0.07,-0.02,-0.03,0.0,0.01,0.1
5,1881,North Hemisphere,-0.32,-0.23,-0.05,-0.01,0.02,-0.34,0.07,-0.05,-0.27,-0.45,-0.38,-0.25
6,1882,Global,0.16,0.14,0.05,-0.16,-0.14,-0.22,-0.16,-0.08,-0.15,-0.23,-0.17,-0.36
7,1882,South Hemisphere,0.08,0.08,0.08,-0.01,-0.03,-0.15,-0.04,0.02,-0.04,0.04,0.0,-0.06
8,1882,North Hemisphere,0.25,0.2,0.01,-0.31,-0.24,-0.29,-0.29,-0.17,-0.26,-0.52,-0.35,-0.7
9,1883,Global,-0.29,-0.37,-0.12,-0.19,-0.18,-0.07,-0.07,-0.14,-0.22,-0.11,-0.24,-0.11
10,1883,South Hemisphere,-0.01,-0.07,-0.08,-0.06,-0.09,-0.02,-0.08,-0.05,-0.1,-0.06,-0.04,-0.05
11,1883,North Hemisphere,-0.59,-0.67,-0.16,-0.31,-0.26,-0.12,-0.06,-0.23,-0.35,-0.17,-0.45,-0.16
12,1884,Global,-0.13,-0.08,-0.36,-0.4,-0.34,-0.35,-0.33,-0.28,-0.27,-0.25,-0.33,-0.31
13,1884,South Hemisphere,-0.08,-0.05,-0.1,-0.21,-0.31,-0.29,-0.21,-0.06,-0.11,-0.06,-0.1,-0.15
14,1884,North Hemisphere,-0.18,-0.12,-0.65,-0.6,-0.37,-0.42,-0.45,-0.52,-0.45,-0.45,-0.58,-0.48
15,1885,South Hemisphere,-0.19,-0.22,-0.29,-0.35,-0.32,-0.42,-0.33,-0.22,-0.19,-0.12,-0.1,-0.09
