,index,Country,Annual,DJF,MAM,JJA,SON,Seuil
0,0,Aruba,282.17,,,,,Invivable
1,0,Afghanistan,23.59,,,,,Vivable
2,0,Angola,11.91,2.5,3.34,0.37,4.11,Vivable
3,0,Anguilla,188.98,9.63,9.63,83.68,84.75,Conditions Difficiles
4,0,Albania,2.78,0.0,0.0,2.69,0.07,Vivable
5,0,Andorra,0.64,0.0,0.0,0.64,0.0,Vivable
6,0,Netherlands Antilles,276.15,43.69,52.65,91.33,90.08,Invivable
7,0,United Arab Emirates,45.33,0.02,27.04,-4.74,26.55,Vivable
8,0,Argentina,19.85,14.1,3.31,0.0,2.28,Vivable
9,0,Armenia,0.06,0.0,0.0,0.06,0.0,Vivable
10,0,American Samoa,270.29,87.05,88.07,40.38,54.68,Invivable
11,0,Antigua and Barbuda,190.26,9.74,10.49,84.1,84.92,Conditions Difficiles
12,0,Australia,52.92,33.77,10.57,0.2,9.37,Vivable
13,0,Austria,0.28,0.0,0.0,0.28,0.0,Vivable
14,0,Azerbaijan,38.52,,,,,Vivable
15,0,Burundi,0.0,0.0,0.0,0.0,0.0,Vivable
16,0,Belgium,0.3,0.0,0.0,0.3,0.0,Vivable
17,0,Benin,209.29,15.43,54.94,81.41,68.97,Invivable
18,0,Burkina Faso,139.38,1.4,39.78,53.39,52.01,Conditions Difficiles
19,0,Bangladesh,35.73,0.22,32.29,-19.93,29.61,Vivable
20,0,Bulgaria,3.96,0.0,0.0,3.91,0.0,Vivable
21,0,Bahrain,-1.79,0.13,23.37,-40.99,7.53,Vivable
22,0,"Bahamas, The",156.04,1.96,7.02,82.9,63.05,Conditions Difficiles
23,0,Bosnia and Herzegovina,1.24,0.0,0.0,1.23,0.0,Vivable
24,0,Belarus,2.41,0.0,0.0,2.4,0.0,Vivable
25,0,Belize,193.66,5.8,51.35,82.54,58.17,Conditions Difficiles
26,0,Bermuda,40.33,0.0,0.0,29.23,9.4,Vivable
27,0,Bolivia,126.67,48.2,34.57,9.07,35.78,Conditions Difficiles
28,0,Brazil,190.69,59.7,49.43,27.63,55.56,Conditions Difficiles
29,0,Barbados,228.24,20.91,28.53,89.11,88.91,Invivable
30,0,Brunei,237.25,51.1,62.53,65.57,62.3,Invivable
31,0,Bhutan,18.78,0.0,0.95,16.4,2.04,Vivable
32,0,Botswana,18.51,7.88,0.39,0.0,7.18,Vivable
33,0,Central African Republic,110.2,3.22,50.07,34.07,23.06,Conditions Difficiles
34,0,Canada,0.1,0.0,0.0,0.1,0.0,Vivable
35,0,Cocos (Keeling) Islands,175.08,66.94,86.73,29.98,8.68,Conditions Difficiles
36,0,Switzerland,0.01,0.0,0.0,0.01,0.0,Vivable
37,0,Chile,0.0,0.0,0.0,0.0,0.0,Vivable
38,0,China,21.59,0.0,2.46,16.59,3.11,Vivable
39,0,Cote d'Ivoire,256.19,35.59,79.41,72.87,73.13,Invivable
40,0,Cameroon,100.08,7.85,44.09,26.6,22.06,Conditions Difficiles
41,0,Congo (Democratic Republic of the),124.75,23.87,43.86,25.19,37.27,Conditions Difficiles
42,0,Congo (Republic of the),125.64,24.76,52.12,22.24,32.97,Conditions Difficiles
43,0,Cook Islands,61.52,32.74,30.75,0.0,0.0,Vivable
44,0,Colombia,215.5,51.11,57.08,55.72,58.71,Invivable
45,0,Comoros,181.06,85.97,81.42,2.25,15.73,Conditions Difficiles
46,0,Cape Verde,16.13,0.0,0.0,4.79,12.21,Vivable
47,0,Costa Rica,151.72,16.26,42.07,50.93,49.75,Conditions Difficiles
48,0,Cuba,171.45,1.32,15.29,88.2,67.86,Conditions Difficiles
49,0,Christmas Island,217.98,80.92,88.59,31.61,28.18,Invivable
50,0,Cayman Islands,258.92,25.79,47.65,90.55,89.03,Invivable
51,0,Cyprus,52.48,0.0,0.0,42.59,7.88,Vivable
52,0,Czech Republic,0.39,0.0,0.0,0.39,0.0,Vivable
53,0,Germany,0.43,0.0,0.0,0.43,0.0,Vivable
54,0,Djibouti,137.54,2.17,45.36,46.3,42.88,Conditions Difficiles
55,0,Dominica,98.08,0.94,2.22,39.99,47.26,Vivable
56,0,Denmark,0.0,0.0,0.0,0.0,0.0,Vivable
57,0,Dominican Republic,110.42,2.49,7.89,52.15,49.65,Conditions Difficiles
58,0,Algeria,72.94,0.0,5.19,55.0,11.97,Vivable
59,0,Ecuador,98.81,26.17,29.84,24.08,27.89,Vivable
60,0,Egypt,73.87,0.0,3.2,58.04,12.4,Vivable
61,0,Eritrea,106.4,2.57,29.93,42.47,31.53,Conditions Difficiles
62,0,Western Sahara,58.58,0.0,2.16,38.46,15.8,Vivable
63,0,Spain,2.75,0.0,0.0,2.65,0.11,Vivable
64,0,Estonia,0.2,0.0,0.0,0.2,0.0,Vivable
65,0,Ethiopia,33.6,1.03,12.0,13.85,8.02,Vivable
66,0,Finland,0.08,0.0,0.0,0.08,0.0,Vivable
