,Time,Zone,Anomaly,month,year,Temperature,Year
0,1880-01-01,Global,-0.18,Janvier,1880,13.82,1880
1,1880-02-01,Global,-0.25,Février,1880,13.75,1880
2,1880-03-01,Global,-0.09,Mars,1880,13.91,1880
3,1880-04-01,Global,-0.16,Avril,1880,13.84,1880
4,1880-05-01,Global,-0.1,Mai,1880,13.9,1880
5,1880-06-01,Global,-0.21,Juin,1880,13.79,1880
6,1880-07-01,Global,-0.18,Juillet,1880,13.82,1880
7,1880-08-01,Global,-0.1,Août,1880,13.9,1880
8,1880-09-01,Global,-0.14,Septembre,1880,13.86,1880
9,1880-10-01,Global,-0.24,Octobre,1880,13.76,1880
10,1880-11-01,Global,-0.22,Novembre,1880,13.78,1880
11,1880-12-01,Global,-0.17,Décembre,1880,13.83,1880
39,1881-01-01,Global,-0.19,Janvier,1881,13.81,1881
40,1881-02-01,Global,-0.14,Février,1881,13.86,1881
41,1881-03-01,Global,0.03,Mars,1881,14.03,1881
42,1881-04-01,Global,0.05,Avril,1881,14.05,1881
43,1881-05-01,Global,0.06,Mai,1881,14.06,1881
44,1881-06-01,Global,-0.19,Juin,1881,13.81,1881
45,1881-07-01,Global,0.01,Juillet,1881,14.01,1881
46,1881-08-01,Global,-0.03,Août,1881,13.97,1881
47,1881-09-01,Global,-0.15,Septembre,1881,13.85,1881
48,1881-10-01,Global,-0.22,Octobre,1881,13.78,1881
49,1881-11-01,Global,-0.18,Novembre,1881,13.82,1881
50,1881-12-01,Global,-0.07,Décembre,1881,13.93,1881
78,1882-01-01,Global,0.16,Janvier,1882,14.16,1882
79,1882-02-01,Global,0.14,Février,1882,14.14,1882
80,1882-03-01,Global,0.05,Mars,1882,14.05,1882
81,1882-04-01,Global,-0.16,Avril,1882,13.84,1882
82,1882-05-01,Global,-0.14,Mai,1882,13.86,1882
83,1882-06-01,Global,-0.22,Juin,1882,13.78,1882
84,1882-07-01,Global,-0.16,Juillet,1882,13.84,1882
85,1882-08-01,Global,-0.08,Août,1882,13.92,1882
86,1882-09-01,Global,-0.15,Septembre,1882,13.85,1882
87,1882-10-01,Global,-0.23,Octobre,1882,13.77,1882
88,1882-11-01,Global,-0.17,Novembre,1882,13.83,1882
89,1882-12-01,Global,-0.36,Décembre,1882,13.64,1882
117,1883-01-01,Global,-0.29,Janvier,1883,13.71,1883
118,1883-02-01,Global,-0.37,Février,1883,13.63,1883
119,1883-03-01,Global,-0.12,Mars,1883,13.88,1883
120,1883-04-01,Global,-0.19,Avril,1883,13.81,1883
121,1883-05-01,Global,-0.18,Mai,1883,13.82,1883
122,1883-06-01,Global,-0.07,Juin,1883,13.93,1883
123,1883-07-01,Global,-0.07,Juillet,1883,13.93,1883
124,1883-08-01,Global,-0.14,Août,1883,13.86,1883
125,1883-09-01,Global,-0.22,Septembre,1883,13.78,1883
126,1883-10-01,Global,-0.11,Octobre,1883,13.89,1883
127,1883-11-01,Global,-0.24,Novembre,1883,13.76,1883
128,1883-12-01,Global,-0.11,Décembre,1883,13.89,1883
156,1884-01-01,Global,-0.13,Janvier,1884,13.87,1884
157,1884-02-01,Global,-0.08,Février,1884,13.92,1884
158,1884-03-01,Global,-0.36,Mars,1884,13.64,1884
159,1884-04-01,Global,-0.4,Avril,1884,13.6,1884
160,1884-05-01,Global,-0.34,Mai,1884,13.66,1884
161,1884-06-01,Global,-0.35,Juin,1884,13.65,1884
162,1884-07-01,Global,-0.33,Juillet,1884,13.67,1884
163,1884-08-01,Global,-0.28,Août,1884,13.72,1884
164,1884-09-01,Global,-0.27,Septembre,1884,13.73,1884
165,1884-10-01,Global,-0.25,Octobre,1884,13.75,1884
166,1884-11-01,Global,-0.33,Novembre,1884,13.67,1884
167,1884-12-01,Global,-0.31,Décembre,1884,13.69,1884
221,1885-01-01,Global,-0.59,Janvier,1885,13.41,1885
222,1885-02-01,Global,-0.33,Février,1885,13.67,1885
223,1885-03-01,Global,-0.26,Mars,1885,13.74,1885
224,1885-04-01,Global,-0.42,Avril,1885,13.58,1885
225,1885-05-01,Global,-0.45,Mai,1885,13.55,1885
226,1885-06-01,Global,-0.43,Juin,1885,13.57,1885
227,1885-07-01,Global,-0.34,Juillet,1885,13.66,1885
228,1885-08-01,Global,-0.31,Août,1885,13.69,1885
229,1885-09-01,Global,-0.28,Septembre,1885,13.72,1885
230,1885-10-01,Global,-0.23,Octobre,1885,13.77,1885
231,1885-11-01,Global,-0.24,Novembre,1885,13.76,1885
232,1885-12-01,Global,-0.1,Décembre,1885,13.9,1885
247,1886-01-01,Global,-0.44,Janvier,1886,13.56,1886
248,1886-02-01,Global,-0.51,Février,1886,13.49,1886
