,Time,Anomaly,Year,Latitudes
0,1880;64N-90N,-0.78,1880,64N-90N
1,1880;44N-64N,-0.5,1880,44N-64N
2,1880;24N-44N,-0.3,1880,24N-44N
3,1880;EQU-24N,-0.16,1880,EQU-24N
4,1880;24S-EQU,-0.09,1880,24S-EQU
5,1880;44S-24S,-0.03,1880,44S-24S
6,1880;64S-44S,0.05,1880,64S-44S
7,1880;90S-64S,0.65,1880,90S-64S
9,1881;64N-90N,-0.89,1881,64N-90N
10,1881;44N-64N,-0.45,1881,44N-64N
11,1881;24N-44N,-0.22,1881,24N-44N
12,1881;EQU-24N,0.09,1881,EQU-24N
13,1881;24S-EQU,0.12,1881,24S-EQU
14,1881;44S-24S,-0.04,1881,44S-24S
15,1881;64S-44S,-0.07,1881,64S-44S
16,1881;90S-64S,0.57,1881,90S-64S
18,1882;64N-90N,-1.39,1882,64N-90N
19,1882;44N-64N,-0.27,1882,44N-64N
20,1882;24N-44N,-0.17,1882,24N-44N
21,1882;EQU-24N,-0.06,1882,EQU-24N
22,1882;24S-EQU,-0.04,1882,24S-EQU
23,1882;44S-24S,0.02,1882,44S-24S
24,1882;64S-44S,0.04,1882,64S-44S
25,1882;90S-64S,0.61,1882,90S-64S
27,1883;64N-90N,-0.17,1883,64N-90N
28,1883;44N-64N,-0.55,1883,44N-64N
29,1883;24N-44N,-0.29,1883,24N-44N
30,1883;EQU-24N,-0.19,1883,EQU-24N
31,1883;24S-EQU,-0.14,1883,24S-EQU
32,1883;44S-24S,-0.03,1883,44S-24S
33,1883;64S-44S,0.07,1883,64S-44S
34,1883;90S-64S,0.48,1883,90S-64S
36,1884;64N-90N,-1.28,1884,64N-90N
37,1884;44N-64N,-0.63,1884,44N-64N
38,1884;24N-44N,-0.49,1884,24N-44N
39,1884;EQU-24N,-0.15,1884,EQU-24N
40,1884;24S-EQU,-0.15,1884,24S-EQU
41,1884;44S-24S,-0.19,1884,44S-24S
42,1884;64S-44S,-0.02,1884,64S-44S
43,1884;90S-64S,0.63,1884,90S-64S
45,1885;64N-90N,-1.49,1885,64N-90N
46,1885;44N-64N,-0.68,1885,44N-64N
47,1885;24N-44N,-0.47,1885,24N-44N
48,1885;EQU-24N,-0.08,1885,EQU-24N
49,1885;24S-EQU,-0.19,1885,24S-EQU
50,1885;44S-24S,-0.33,1885,44S-24S
51,1885;64S-44S,-0.15,1885,64S-44S
52,1885;90S-64S,0.8,1885,90S-64S
54,1886;64N-90N,-1.57,1886,64N-90N
55,1886;44N-64N,-0.49,1886,44N-64N
56,1886;24N-44N,-0.42,1886,24N-44N
57,1886;EQU-24N,-0.22,1886,EQU-24N
58,1886;24S-EQU,-0.17,1886,24S-EQU
59,1886;44S-24S,-0.2,1886,44S-24S
60,1886;64S-44S,-0.21,1886,64S-44S
61,1886;90S-64S,0.57,1886,90S-64S
63,1887;64N-90N,-1.74,1887,64N-90N
64,1887;44N-64N,-0.5,1887,44N-64N
65,1887;24N-44N,-0.31,1887,24N-44N
66,1887;EQU-24N,-0.3,1887,EQU-24N
67,1887;24S-EQU,-0.29,1887,24S-EQU
68,1887;44S-24S,-0.27,1887,44S-24S
69,1887;64S-44S,-0.26,1887,64S-44S
70,1887;90S-64S,0.3,1887,90S-64S
72,1888;64N-90N,-1.28,1888,64N-90N
73,1888;44N-64N,-0.42,1888,44N-64N
74,1888;24N-44N,-0.27,1888,24N-44N
75,1888;EQU-24N,0.06,1888,EQU-24N
76,1888;24S-EQU,0.13,1888,24S-EQU
77,1888;44S-24S,-0.31,1888,44S-24S
78,1888;64S-44S,-0.23,1888,64S-44S
